MAIN_ID,ra,dec,pmRA,pmDE,Vmag,Umag
HD 177199,285.7192558818631,+19.6610107959826,6.120,-0.860,6.094,
* iot Boo,214.0413764124031,+51.3672313255505,-149.628,88.890,4.75,5.01
HD 167387,272.7798112905247,+60.4095317623308,-6.698,4.612,6.500,6.440
* tet Lup,241.6481114670878,-36.8022655685830,-20.096,-33.421,4.201,3.36
HD  74236,129.9965771955266,-59.5469122696485,-8.844,2.826,6.78,
HD 192461,303.7942900321237,-03.5035875983470,-43.922,-64.540,6.91,
*  31 Cas,017.6638364135367,+68.7786218340465,35.790,-26.590,5.309,
HD 218880,347.7949471156221,+30.0431107330557,16.234,18.429,6.90,
HD 124281,213.3052375515746,-26.6123091181726,14.256,-18.518,6.236,
* iot Tuc,016.8277717516784,-61.7752899405157,73.920,-10.971,5.342,
HD 207165,326.6926857345147,+13.7196165753742,29.397,4.933,6.670,6.960
HD 103437,178.6075588654,-37.7489339497,-331.29,57.61,6.46,
V* V1293 Aql,293.2823566114078,+05.0293902816511,-0.241,-2.409,6.63,
HD 101695,175.5147007524315,-20.2941675224556,-8.706,-54.566,6.200,
* R Aps,224.4707614250324,-76.6626562677374,-68.997,-16.232,5.359,
HD  20809,050.8049848771416,+49.2132673848724,22.497,-24.190,5.30,
HD 200435,315.8729137451827,-02.3222051081996,-23.892,-33.051,6.97,
HD  10390,025.5145392760043,+35.2457058734498,48.941,-25.571,5.64,5.37
HD  89897,155.5448668470435,-13.4096861946830,-29.495,-15.993,6.90,
HD 208527,329.0999357392138,+21.2398573151286,1.205,15.029,6.370,10.090
HD  20393,049.6356233093968,+44.7195552059481,33.651,-27.300,6.96,
HD  84117,145.5600688559750,-23.9155705775205,-399.745,263.050,4.94,
* c Per,062.1653839908,+47.7125119269,21.73,-33.61,4.03,3.45
HD   1917,005.9716116063114,+60.9613876572913,-110.865,-74.505,6.569,
* k Tau,074.5391348060902,+25.0504081901389,27.38,-47.41,5.785,
*  35 Vul,321.9169047259628,+27.6085922404367,41.809,21.413,5.379,
HD 118295,203.8087463610543,+44.1970454497974,-16.539,12.770,6.826,
HD  76990,138.8392882372680,+84.1810155067201,31.748,14.061,6.280,6.680
HD    645,002.6784761784994,-12.5798990564433,148.107,-38.756,5.849,
HD  37397,084.5572373793517,-01.1691755581702,1.053,-1.681,6.826,5.93
HD 193092,304.2303570135924,+40.3650751078258,2.262,-1.955,5.236,
HD  48038,100.2387810407306,-12.1822557375069,-0.272,-0.985,6.922,6.26
*   4 Vul,291.3691793289867,+19.7983499502619,87.392,-73.038,5.16,6.95
V* W Gem,098.7393851309166,+15.3304718420221,-0.873,-2.527,6.54,7.79
*  69 Aql,307.4124998121515,-02.8855326553767,70.355,-21.523,4.900,
* del02 CMi,113.2986069179792,+03.2903802301946,-15.824,42.442,5.571,
* bet Lac,335.8900989442,+52.2290457375,-13.25,-186.77,4.44,6.26
*  23 Leo,147.7582674935014,+13.0662392564592,18.596,-7.236,6.450,9.970
HD  95771,165.8105839583274,-00.7523408815532,-20.096,-111.984,6.117,
HD  26256,062.3634361113847,+06.7250516174492,27.411,-56.688,6.73,
*  47 Oph,261.6578372596,-05.0865972200,-92.50,-43.29,4.54,4.90
HD  70200,124.2205388339687,-64.1870589152390,-15.317,18.946,6.67,
V* V468 Car,126.2887374358,-55.4728285769,-8.25,2.70,6.61,
HD  36208,080.6346044661821,-73.8014334480168,-14.375,13.416,6.85,
* mu. Tau,063.8835702947469,+08.8923587687858,20.881,-22.789,4.279,3.74
HD  40672,090.0047081961320,-08.1075449491950,-4.822,-5.111,6.61,
*  32 Gem,101.4758306140762,+12.6935642809021,-1.069,-1.577,6.470,7.080
